crm,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1280,5282,16419,17916,15337,12896,8939,14532,19777,15281,9390,6589,11984,13984,10089,16281,6691,12790,9886,8510,13882,8590,7889,14085,16659,7440,18828,17881,16081,7891,14885,13184
1284,11871,2400,22256,15223,12125,14090,4996,19380,34471,19483,15721,13485,22026,13185,16032,23793,15285,18031,7592,24176,12786,22576,16485,20879,30467,9190,14786,21974,23776,24076,16483
1286,9071,15482,12304,5713,6194,25776,13384,2596,4595,13883,15683,4898,20879,-499,7192,1895,6093,11590,6392,12788,14586,7394,4396,4297,19732,6992,5344,4495,10689,13782,4095
1291,16251,15246,31319,22673,16726,29945,27336,36604,12085,25649,28417,26973,27088,25021,23639,22412,2249,39012,16920,38339,34973,13735,47375,20795,30315,28639,21441,40002,36979,35855,32309
1292,14193,21946,35116,1288,5510,11671,7089,16176,13189,14920,7437,6543,32151,22926,28313,9960,21987,7794,10688,33645,10442,38015,15234,9589,-702,16487,4048,7893,19535,51384,20529
1293,74230,59896,75844,59119,52462,92594,57527,108554,110444,76595,91358,83618,118843,87499,121290,75870,124376,137075,59935,174362,42829,119884,61353,77116,60718,69827,134481,100499,73827,206058,77934
1296,29697,14679,25701,26372,11213,29871,19224,23770,27063,19582,19675,12083,19584,43156,-2155,9936,20079,44652,12237,44200,21224,31614,22276,49588,32463,10531,-9995,549,32662,32760,15082
1315,18513,26739,11029,19254,21467,25770,25467,25261,12729,36925,31468,22672,18479,15681,23075,32061,-2202,18582,29464,32366,34356,1190,32952,21476,24465,31270,28462,20978,39658,6691,24576
1317,12030,21825,32612,35665,10219,36763,5594,17580,33964,53750,30275,18862,34113,16982,16582,32810,34883,23955,21107,40137,21302,31236,29775,29681,26576,18947,19384,48665,26227,39811,23576
1321,7309,19858,33216,26419,34333,22664,31166,20916,15574,25866,18578,42242,8689,29366,50744,55396,37951,26868,24709,31865,43051,23864,30151,91674,14982,23365,43362,-1107,53335,30360,41743
1324,16314,3524,24005,5889,12124,18576,19875,10438,10635,13902,31269,12784,12087,5292,22572,25071,11186,14483,6490,23467,12485,19077,19679,20577,14735,18078,25970,17881,16881,18530,11488
1326,29826,13399,31703,34603,31361,63323,39368,40519,23130,19127,10989,29537,40692,21176,45759,2494,32071,129045,-20488,33494,30469,24875,28930,34306,10536,21831,20668,14082,17281,20381,48252
1336,3029,5259,21096,6254,7854,12885,6242,10285,11595,13788,8942,9840,11388,8392,7492,11238,12087,3398,10687,8989,6093,9190,7592,9390,8293,5394,4796,5293,300,9790,15687
1341,4508,4781,2333,5929,2634,7990,5513,8405,16993,1893,10488,5394,8887,3094,4794,6239,12186,20830,-1104,8586,7587,5040,3372,10689,8089,3991,4094,2098,12491,9092,4795
1411,8090,4036,6155,16252,17327,15780,13787,13332,20683,2298,12887,7369,3596,3194,25077,9190,6941,13782,19385,19429,23574,2947,8491,11789,22880,20383,20029,3193,8488,31471,29271
1412,10577,17018,47803,16850,25216,38860,23124,30966,32512,19072,23370,16380,26965,18021,30269,17126,42302,11436,21572,19025,21371,26561,28765,14485,33662,38847,33715,9589,48794,25369,499
1414,8489,555,10771,24004,20899,20824,26234,3591,8291,14037,19879,19882,16932,17763,23991,7786,12987,15381,14273,23675,-1003,16282,5693,19377,14932,498,22776,2198,24378,-998,-1598
1418,19713,29952,22729,35345,11103,27368,31562,22577,24473,25067,31760,25120,12489,30069,39557,28067,28770,18180,32567,41759,30115,47049,34662,11690,38463,20676,25670,31767,50845,33863,42653
1421,26079,10105,43425,15268,20384,39634,17329,38977,19428,52223,35759,11063,50648,35729,47753,20179,29043,28273,25254,47699,29933,10536,20677,48072,36814,28317,53595,40208,37563,41906,25852
1433,9787,24307,21048,16579,34241,8192,8089,25679,22879,28574,25873,13484,20176,26424,22231,9192,23178,14380,14583,26572,25271,38567,15683,25975,9092,23075,28176,19578,45550,53343,8391
1435,27648,-15035,21565,4514,2021,8388,13386,9192,17683,21879,18984,9786,1899,1398,2998,-1002,15184,2796,9792,4994,22178,19281,3494,21379,2598,2598,18083,15285,5293,15087,12887
1440,-276,653,7431,2984,26219,568,-2149,2940,-2624,10123,7914,-6996,4293,2603,10552,5081,1840,2490,6646,1310,5028,10706,8519,2501,1391,1476,7300,2784,6850,5400,3876
1443,5017,2098,12608,11429,9113,27276,6396,7992,17584,-1398,15588,14788,14884,8592,13389,10492,13689,2598,17386,14388,4396,6994,6994,15386,15588,-2598,6095,10491,7794,13588,6495
1444,16027,8419,12086,19270,8885,20671,26671,9889,13685,10599,15382,22696,26475,19274,11087,11483,6288,19180,7693,21877,7453,22867,11989,16637,29169,5992,12485,12388,12082,16081,17780
1446,1616,4643,2217,10769,4012,9792,1200,1697,4594,4594,13388,6291,3594,99,1398,8689,14687,-901,1398,6594,9887,4392,2796,5495,12786,4693,18678,8292,3494,6693,1596
1447,21397,11303,30823,23342,9228,34770,6394,4297,13689,12586,19288,22681,15587,7294,23079,23278,22083,11570,20683,18287,18883,21381,7492,25480,6891,5896,22458,11591,36966,10792,6996
1448,6924,16097,21810,33965,-819,20828,18629,42553,4843,22773,40003,-6893,26968,17100,29467,51300,9029,15787,17981,18280,14780,23477,12338,23627,18680,16331,33616,29571,20128,28269,30371
