headend_no,household_no,a,b,c,d,e,denominator
100264,143661,0,0,0,0,0,1
100264,143724,0,0,0,0,0,1
100264,14376,0,0,0,0,0,1
100264,143908,0,0,0,0,0,1
100264,14400,0,0,0,0,0,1
100264,144013,0,0,0,0,0,1
100264,144022,0,0,0,0,0,1
100264,144054,0,0,0,0,0,1
100264,144076,1,1,1,1,1,1
100264,144096,0,0,0,0,0,1
100264,14413,0,0,0,0,0,1
100264,144356,0,0,0,0,0,1
100264,144398,0,0,0,0,0,1
100264,144418,0,0,0,0,0,1
100264,144513,0,0,0,0,0,1
100264,144589,0,0,0,0,0,1
100264,144777,0,0,0,0,0,1
100264,144977,0,0,0,0,0,1
100264,14501,0,0,0,0,0,1
100264,145183,0,0,0,0,0,1
100264,145275,0,0,0,0,0,1
100264,145298,0,0,0,0,0,1
100264,14532,0,0,0,0,0,1
100264,145325,0,0,0,0,0,1
100264,145347,0,0,0,0,0,1
100264,145352,0,0,0,0,0,1
100264,1454,0,0,0,1,1,1
